DATE / TIME (PST),M FLOW CFS
"$DateFormat=""mm/dd/yyyy""",
8/25/2007,454
8/26/2007,430
8/27/2007,447
8/28/2007,395
8/29/2007,421
8/30/2007,436
8/31/2007,403
9/1/2007,391
9/2/2007,447
9/3/2007,456
9/4/2007,444
9/5/2007,498
9/6/2007,510
9/7/2007,459
9/8/2007,439
9/9/2007,453
9/10/2007,449
9/11/2007,444
9/12/2007,422
9/13/2007,471
9/14/2007,408
9/15/2007,386
9/16/2007,419
9/17/2007,401
9/18/2007,339
9/19/2007,356
9/20/2007,392
9/21/2007,339
9/22/2007,331
9/23/2007,389
9/24/2007,425
9/25/2007,398
9/26/2007,372
9/27/2007,379
9/28/2007,394
9/29/2007,396
9/30/2007,458
10/1/2007,487
10/2/2007,462
10/3/2007,432
10/4/2007,397
10/5/2007,379
10/6/2007,391
10/7/2007,394
10/8/2007,391
10/9/2007,382
10/10/2007,370
10/11/2007,383
10/12/2007,638
10/13/2007,519
10/14/2007,545
10/15/2007,545
10/16/2007,588
10/17/2007,586
10/18/2007,602
10/19/2007,579
10/20/2007,569
10/21/2007,582
10/22/2007,589
10/23/2007,611
10/24/2007,616
10/25/2007,719
10/26/2007,947
10/27/2007,"1,110"
10/28/2007,"1,138"
10/29/2007,"1,167"
10/30/2007,"1,184"
10/31/2007,"1,202"
11/1/2007,"1,210"
11/2/2007,"1,251"
11/3/2007,"1,290"
11/4/2007,"1,290"
11/5/2007,"1,299"
11/6/2007,"1,316"
11/7/2007,"1,278"
11/8/2007,"1,196"
11/9/2007,"1,095"
11/10/2007,967
11/11/2007,905
11/12/2007,865
11/13/2007,849
11/14/2007,815
11/15/2007,797
11/16/2007,804
11/17/2007,797
11/18/2007,812
11/19/2007,806
11/20/2007,762
11/21/2007,767
11/22/2007,769
11/23/2007,762
11/24/2007,744
11/25/2007,737
11/26/2007,734
11/27/2007,738
11/28/2007,748
11/29/2007,744
11/30/2007,749
12/1/2007,731
12/2/2007,731
12/3/2007,730
12/4/2007,720
12/5/2007,721
12/6/2007,723
12/7/2007,777
12/8/2007,815
12/9/2007,809
12/10/2007,828
12/11/2007,810
12/12/2007,991
12/13/2007,799
12/14/2007,765
12/15/2007,742
12/16/2007,736
12/17/2007,727
12/18/2007,743
12/19/2007,743
12/20/2007,752
12/21/2007,734
12/22/2007,738
12/23/2007,739
12/24/2007,733
12/25/2007,718
12/26/2007,717
12/27/2007,701
12/28/2007,686
12/29/2007,691
12/30/2007,677
12/31/2007,659
1/1/2008,634
1/2/2008,610
1/3/2008,595
1/4/2008,712
1/5/2008,972
1/6/2008,"1,075"
1/7/2008,"1,284"
1/8/2008,"1,351"
1/9/2008,"1,250"
1/10/2008,"1,123"
1/11/2008,"1,018"
1/12/2008,921
1/13/2008,845
1/14/2008,799
1/15/2008,766
1/16/2008,739
1/17/2008,710
1/18/2008,704
1/19/2008,692
1/20/2008,708
1/21/2008,696
1/22/2008,717
1/23/2008,777
1/24/2008,961
1/25/2008,"1,803"
1/26/2008,"2,581"
1/27/2008,"2,553"
1/28/2008,"2,365"
1/29/2008,"2,299"
1/30/2008,"2,233"
1/31/2008,"2,081"
2/1/2008,"1,905"
2/2/2008,"1,653"
2/3/2008,"1,472"
2/4/2008,"1,464"
2/5/2008,"1,668"
2/6/2008,"1,855"
2/7/2008,"1,862"
2/8/2008,"1,673"
2/9/2008,"1,438"
2/10/2008,"1,321"
2/11/2008,"1,218"
2/12/2008,"1,126"
2/13/2008,"1,074"
2/14/2008,"1,029"
2/15/2008,978
2/16/2008,944
2/17/2008,905
2/18/2008,877
2/19/2008,846
2/20/2008,887
2/21/2008,868
2/22/2008,958
2/23/2008,"1,159"
2/24/2008,"1,260"
2/25/2008,"1,374"
2/26/2008,"1,769"
2/27/2008,"1,863"
2/28/2008,"1,800"
2/29/2008,"1,655"
3/1/2008,"1,454"
3/2/2008,"1,319"
3/3/2008,"1,262"
3/4/2008,"1,193"
3/5/2008,"1,137"
3/6/2008,"1,149"
3/7/2008,"1,108"
3/8/2008,"1,178"
3/9/2008,"1,126"
3/10/2008,"1,088"
3/11/2008,"1,013"
3/12/2008,937
3/13/2008,945
3/14/2008,936
3/15/2008,894
3/16/2008,885
3/17/2008,887
3/18/2008,825
3/19/2008,810
3/20/2008,804
3/21/2008,791
3/22/2008,752
3/23/2008,774
3/24/2008,778
3/25/2008,739
3/26/2008,733
3/27/2008,705
3/28/2008,670
3/29/2008,635
3/30/2008,651
3/31/2008,630
4/1/2008,605
4/2/2008,609
4/3/2008,609
4/4/2008,616
4/5/2008,591
4/6/2008,612
4/7/2008,611
4/8/2008,614
4/9/2008,650
4/10/2008,661
4/11/2008,619
4/12/2008,609
4/13/2008,634
4/14/2008,640
4/15/2008,614
4/16/2008,602
4/17/2008,606
4/18/2008,587
4/19/2008,578
4/20/2008,581
4/21/2008,577
4/22/2008,584
4/23/2008,609
4/24/2008,741
4/25/2008,943
4/26/2008,"1,168"
4/27/2008,"1,329"
4/28/2008,"1,412"
4/29/2008,"1,411"
4/30/2008,"1,421"
5/1/2008,"1,413"
5/2/2008,"1,456"
5/3/2008,"1,451"
5/4/2008,"1,457"
5/5/2008,"1,366"
5/6/2008,"1,237"
5/7/2008,"1,180"
5/8/2008,"1,174"
5/9/2008,"1,164"
5/10/2008,"1,217"
5/11/2008,"1,321"
5/12/2008,"1,354"
5/13/2008,"1,340"
5/14/2008,"1,292"
5/15/2008,"1,300"
5/16/2008,"1,294"
5/17/2008,"1,220"
5/18/2008,"1,114"
5/19/2008,"1,023"
5/20/2008,898
5/21/2008,773
5/22/2008,717
5/23/2008,693
5/24/2008,662
5/25/2008,677
5/26/2008,679
5/27/2008,648
5/28/2008,635
5/29/2008,603
5/30/2008,580
5/31/2008,567
6/1/2008,572
6/2/2008,589
6/3/2008,522
6/4/2008,521
6/5/2008,527
6/6/2008,480
6/7/2008,467
6/8/2008,500
6/9/2008,529
6/10/2008,503
6/11/2008,449
6/12/2008,418
6/13/2008,421
6/14/2008,383
6/15/2008,401
6/16/2008,370
6/17/2008,336
6/18/2008,337
6/19/2008,316
6/20/2008,311
6/21/2008,309
6/22/2008,297
6/23/2008,334
6/24/2008,328
6/25/2008,330
6/26/2008,336
6/27/2008,295
6/28/2008,285
6/29/2008,321
6/30/2008,350
7/1/2008,323
7/2/2008,287
7/3/2008,315
7/4/2008,301
7/5/2008,319
7/6/2008,330
7/7/2008,324
7/8/2008,288
7/9/2008,288
7/10/2008,270
7/11/2008,246
7/12/2008,250
7/13/2008,298
7/14/2008,291
7/15/2008,285
7/16/2008,294
7/17/2008,319
7/18/2008,291
7/19/2008,301
7/20/2008,342
7/21/2008,342
7/22/2008,--
7/23/2008,--
7/24/2008,--
7/25/2008,--
7/26/2008,--
7/27/2008,--
7/28/2008,--
7/29/2008,--
7/30/2008,--
7/31/2008,--
8/1/2008,--
8/2/2008,--
8/3/2008,--
8/4/2008,--
8/5/2008,--
8/6/2008,--
8/7/2008,--
8/8/2008,--
8/9/2008,--
8/10/2008,--
8/11/2008,--
8/12/2008,--
8/13/2008,--
8/14/2008,--
8/15/2008,--
8/16/2008,--
8/17/2008,--
8/18/2008,--
8/19/2008,--
8/20/2008,--
8/21/2008,--
8/22/2008,--
8/23/2008,--
8/24/2008,--
8/25/2008,--
8/26/2008,--
8/27/2008,--
8/28/2008,--
8/29/2008,--
8/30/2008,--
8/31/2008,--
9/1/2008,--
9/2/2008,--
9/3/2008,--
9/4/2008,--
9/5/2008,--
9/6/2008,--
9/7/2008,--
9/8/2008,--
9/9/2008,--
9/10/2008,--
9/11/2008,--
9/12/2008,--
9/13/2008,--
9/14/2008,--
9/15/2008,--
9/16/2008,--
9/17/2008,--
9/18/2008,--
9/19/2008,--
9/20/2008,--
9/21/2008,--
9/22/2008,--
9/23/2008,--
9/24/2008,--
9/25/2008,--
9/26/2008,--
9/27/2008,--
9/28/2008,--
9/29/2008,--
9/30/2008,--
10/1/2008,--
10/2/2008,--
10/3/2008,--
10/4/2008,--
10/5/2008,--
10/6/2008,--
10/7/2008,--
10/8/2008,--
10/9/2008,--
10/10/2008,--
10/11/2008,--
10/12/2008,--
10/13/2008,--
10/14/2008,--
10/15/2008,--
10/16/2008,--
10/17/2008,--
10/18/2008,--
10/19/2008,--
10/20/2008,--
10/21/2008,--
10/22/2008,--
10/23/2008,--
10/24/2008,--
10/25/2008,--
10/26/2008,--
10/27/2008,--
10/28/2008,--
10/29/2008,--
10/30/2008,--
10/31/2008,--
11/1/2008,--
11/2/2008,--
11/3/2008,--
11/4/2008,--
11/5/2008,--
11/6/2008,--
11/7/2008,--
11/8/2008,--
11/9/2008,--
11/10/2008,--
11/11/2008,--
11/12/2008,--
11/13/2008,--
11/14/2008,--
11/15/2008,--
11/16/2008,--
11/17/2008,--
11/18/2008,--
11/19/2008,--
11/20/2008,--
11/21/2008,--
11/22/2008,--
11/23/2008,--
11/24/2008,--
11/25/2008,--
11/26/2008,--
11/27/2008,--
11/28/2008,--
11/29/2008,--
11/30/2008,--
12/1/2008,--
12/2/2008,--
12/3/2008,--
12/4/2008,--
12/5/2008,--
12/6/2008,--
12/7/2008,--
12/8/2008,--
12/9/2008,--
12/10/2008,--
12/11/2008,--
12/12/2008,--
12/13/2008,--
12/14/2008,--
12/15/2008,--
12/16/2008,--
12/17/2008,--
12/18/2008,--
12/19/2008,--
12/20/2008,--
12/21/2008,--
12/22/2008,--
12/23/2008,--
12/24/2008,--
12/25/2008,--
12/26/2008,--
12/27/2008,--
12/28/2008,--
12/29/2008,--
12/30/2008,--
12/31/2008,--
1/1/2009,--
1/2/2009,--
1/3/2009,--
1/4/2009,--
1/5/2009,--
1/6/2009,--
1/7/2009,--
1/8/2009,--
1/9/2009,446
1/10/2009,433
1/11/2009,431
1/12/2009,423
1/13/2009,408
1/14/2009,407
1/15/2009,411
1/16/2009,410
1/17/2009,413
1/18/2009,416
1/19/2009,417
1/20/2009,416
1/21/2009,405
1/22/2009,419
1/23/2009,439
1/24/2009,489
1/25/2009,556
1/26/2009,705
1/27/2009,779
1/28/2009,762
1/29/2009,706
1/30/2009,650
1/31/2009,589
2/1/2009,554
2/2/2009,545
2/3/2009,555
2/4/2009,559
2/5/2009,566
2/6/2009,574
2/7/2009,589
2/8/2009,602
2/9/2009,629
2/10/2009,660
2/11/2009,677
2/12/2009,661
2/13/2009,658
2/14/2009,648
2/15/2009,657
2/16/2009,724
2/17/2009,780
2/18/2009,815
2/19/2009,995
2/20/2009,986
2/21/2009,960
2/22/2009,923
2/23/2009,881
2/24/2009,854
2/25/2009,835
2/26/2009,839
2/27/2009,820
2/28/2009,780
3/1/2009,747
3/2/2009,737
3/3/2009,--
3/4/2009,--
3/5/2009,--
3/6/2009,--
3/7/2009,--
3/8/2009,--
3/9/2009,"1,016"
3/10/2009,950
3/11/2009,886
3/12/2009,851
3/13/2009,823
3/14/2009,795
3/15/2009,786
3/16/2009,794
3/17/2009,792
3/18/2009,773
3/19/2009,750
3/20/2009,732
3/21/2009,716
3/22/2009,722
3/23/2009,707
3/24/2009,--
3/25/2009,--
3/26/2009,--
3/27/2009,--
3/28/2009,--
3/29/2009,--
3/30/2009,--
3/31/2009,--
4/1/2009,--
4/2/2009,--
4/3/2009,--
4/4/2009,--
4/5/2009,--
4/6/2009,--
4/7/2009,--
4/8/2009,--
4/9/2009,--
4/10/2009,--
4/11/2009,--
4/12/2009,--
4/13/2009,--
4/14/2009,481
4/15/2009,552
4/16/2009,551
4/17/2009,574
4/18/2009,545
4/19/2009,529
4/20/2009,535
4/21/2009,500
4/22/2009,459
4/23/2009,411
4/24/2009,440
4/25/2009,429
4/26/2009,444
4/27/2009,464
4/28/2009,471
4/29/2009,418
4/30/2009,418
5/1/2009,448
5/2/2009,509
5/3/2009,574
5/4/2009,632
5/5/2009,642
5/6/2009,627
5/7/2009,617
5/8/2009,686
5/9/2009,735
5/10/2009,856
5/11/2009,908
5/12/2009,879
5/13/2009,758
5/14/2009,555
5/15/2009,454
5/16/2009,392
5/17/2009,385
5/18/2009,374
5/19/2009,363
5/20/2009,369
5/21/2009,339
5/22/2009,338
5/23/2009,320
5/24/2009,325
5/25/2009,338
5/26/2009,303
5/27/2009,306
5/28/2009,305
5/29/2009,287
5/30/2009,264
5/31/2009,282
6/1/2009,313
6/2/2009,323
6/3/2009,326
6/4/2009,316
6/5/2009,341
6/6/2009,337
6/7/2009,398
6/8/2009,407
6/9/2009,386
6/10/2009,386
6/11/2009,403
6/12/2009,408
6/13/2009,384
6/14/2009,410
6/15/2009,417
6/16/2009,404
6/17/2009,403
6/18/2009,350
6/19/2009,325
6/20/2009,316
6/21/2009,330
6/22/2009,340
6/23/2009,332
6/24/2009,306
6/25/2009,356
6/26/2009,336
6/27/2009,316
6/28/2009,331
6/29/2009,330
6/30/2009,287
7/1/2009,257
7/2/2009,261
7/3/2009,230
7/4/2009,244
7/5/2009,295
7/6/2009,280
7/7/2009,262
7/8/2009,276
7/9/2009,278
7/10/2009,262
7/11/2009,218
7/12/2009,255
7/13/2009,265
7/14/2009,271
7/15/2009,269
7/16/2009,243
7/17/2009,212
7/18/2009,194
7/19/2009,209
7/20/2009,211
7/21/2009,187
7/22/2009,201
7/23/2009,202
7/24/2009,204
7/25/2009,208
7/26/2009,217
7/27/2009,216
7/28/2009,201
7/29/2009,187
7/30/2009,195
7/31/2009,203
8/1/2009,216
8/2/2009,245
8/3/2009,303
8/4/2009,242
8/5/2009,263
8/6/2009,230
8/7/2009,213
8/8/2009,210
8/9/2009,225
8/10/2009,265
8/11/2009,255
8/12/2009,226
8/13/2009,220
8/14/2009,247
8/15/2009,269
8/16/2009,294
8/17/2009,272
8/18/2009,246
8/19/2009,252
8/20/2009,286
8/21/2009,291
8/22/2009,312
8/23/2009,341
8/24/2009,374
8/25/2009,301
8/26/2009,275
8/27/2009,271
8/28/2009,328
8/29/2009,301
8/30/2009,300
8/31/2009,319
9/1/2009,314
9/2/2009,301
9/3/2009,310
9/4/2009,250
9/5/2009,284
9/6/2009,304
9/7/2009,327
9/8/2009,289
9/9/2009,287
9/10/2009,314
9/11/2009,287
9/12/2009,309
9/13/2009,410
9/14/2009,459
9/15/2009,418
9/16/2009,394
9/17/2009,373
9/18/2009,374
9/19/2009,362
9/20/2009,362
9/21/2009,380
9/22/2009,317
9/23/2009,267
