$DateFormat=yyy-mm-dd
1980-01-01,753
1980-01-02,950
1980-01-03,977
1980-01-04,924
1980-01-05,968
1980-01-06,1350
1980-01-07,1080
1980-01-08,882
1980-01-09,865
1980-01-10,1090
1980-01-11,1190
1980-01-12,1290
1980-01-13,2890
1980-01-14,4450
1980-01-15,5510
1980-01-16,4930
1980-01-17,3940
1980-01-18,3230
1980-01-19,2530
1980-01-20,1980
1980-01-21,1700
1980-01-22,1650
1980-01-23,1590
1980-01-24,1500
1980-01-25,1430
1980-01-26,1390
1980-01-27,1300
1980-01-28,1140
1980-01-29,1000
1980-01-30,940
1980-01-31,1000
1980-02-01,1000
1980-02-02,1010
1980-02-03,1110
1980-02-04,1250
1980-02-05,1340
1980-02-06,1340
1980-02-07,1340
1980-02-08,1340
1980-02-09,1300
1980-02-10,1240
1980-02-11,1210
1980-02-12,1190
1980-02-13,1190
1980-02-14,1220
1980-02-15,1510
1980-02-16,1580
1980-02-17,1670
1980-02-18,2500
1980-02-19,3230
1980-02-20,4990
1980-02-21,5600
1980-02-22,4370
1980-02-23,3810
1980-02-24,3250
1980-02-25,2840
1980-02-26,2700
1980-02-27,2620
1980-02-28,2610
1980-02-29,2810
1980-03-01,2920
1980-03-02,2900
1980-03-03,2920
1980-03-04,3070
1980-03-05,3080
1980-03-06,3350
1980-03-07,3180
1980-03-08,2810
1980-03-09,2610
1980-03-10,2530
1980-03-11,2470
1980-03-12,2460
1980-03-13,2440
1980-03-14,2400
1980-03-15,2950
1980-03-16,3080
1980-03-17,2490
1980-03-18,1780
1980-03-19,1530
1980-03-20,1970
1980-03-21,2740
1980-03-22,2680
1980-03-23,2640
1980-03-24,2510
1980-03-25,2440
1980-03-26,2470
1980-03-27,2440
1980-03-28,2330
1980-03-29,2230
1980-03-30,2300
1980-03-31,2280
1980-04-01,2190
1980-04-02,2280
1980-04-03,2120
1980-04-04,2090
1980-04-05,2310
1980-04-06,2970
1980-04-07,3050
1980-04-08,2560
1980-04-09,2510
1980-04-10,2810
1980-04-11,2700
1980-04-12,2540
1980-04-13,2760
1980-04-14,3220
1980-04-15,3600
1980-04-16,4010
1980-04-17,4290
1980-04-18,5150
1980-04-19,6240
1980-04-20,7080
1980-04-21,8110
1980-04-22,8000
1980-04-23,7970
1980-04-24,9130
1980-04-25,10500
1980-04-26,8570
1980-04-27,8140
1980-04-28,8370
1980-04-29,8980
1980-04-30,8450
1980-05-01,7180
1980-05-02,6950
1980-05-03,7720
1980-05-04,8000
1980-05-05,8110
1980-05-06,8480
1980-05-07,8830
1980-05-08,8310
1980-05-09,8280
1980-05-10,8000
1980-05-11,7100
1980-05-12,6050
1980-05-13,5300
1980-05-14,4870
1980-05-15,4700
1980-05-16,5150
1980-05-17,4990
1980-05-18,4680
1980-05-19,4800
1980-05-20,5100
1980-05-21,5740
1980-05-22,6540
1980-05-23,8170
1980-05-24,8570
1980-05-25,8080
1980-05-26,8400
1980-05-27,8710
1980-05-28,9220
1980-05-29,9470
1980-05-30,9220
1980-05-31,9040
1980-06-01,8800
1980-06-02,9470
1980-06-03,9190
1980-06-04,8660
1980-06-05,8170
1980-06-06,8220
1980-06-07,7830
1980-06-08,7560
1980-06-09,7550
1980-06-10,7910
1980-06-11,7670
1980-06-12,7020
1980-06-13,7080
1980-06-14,6220
1980-06-15,6050
1980-06-16,5550
1980-06-17,5280
1980-06-18,5620
1980-06-19,6840
1980-06-20,7640
1980-06-21,8370
1980-06-22,8860
1980-06-23,8740
1980-06-24,8110
1980-06-25,7290
1980-06-26,6440
1980-06-27,5810
1980-06-28,4950
1980-06-29,4430
1980-06-30,4270
1980-07-01,4390
1980-07-02,4310
1980-07-03,4650
1980-07-04,4550
1980-07-05,4290
1980-07-06,4390
1980-07-07,4310
1980-07-08,4050
1980-07-09,3840
1980-07-10,3460
1980-07-11,2650
1980-07-12,2100
1980-07-13,1670
1980-07-14,1520
1980-07-15,1350
1980-07-16,1040
1980-07-17,986
1980-07-18,882
1980-07-19,873
1980-07-20,1000
1980-07-21,1080
1980-07-22,959
1980-07-23,890
1980-07-24,865
1980-07-25,916
1980-07-26,1000
