"DATE / TIME (PDT)","STORAGE AF",""
"01/01/1950","--",""
"02/01/1950","--",""
"03/01/1950","--",""
"04/01/1950","--",""
"05/01/1950","--",""
"06/01/1950","--",""
"07/01/1950","--",""
"08/01/1950","--",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","--",""
"02/01/1951","--",""
"03/01/1951","--",""
"04/01/1951","--",""
"05/01/1951","--",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","--",""
"02/01/1952","--",""
"03/01/1952","--",""
"04/01/1952","--",""
"05/01/1952","--",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","--",""
"02/01/1953","--",""
"03/01/1953","--",""
"04/01/1953","--",""
"05/01/1953","--",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","--",""
"01/01/1954","--",""
"02/01/1954","--",""
"03/01/1954","--",""
"04/01/1954","--",""
"05/01/1954","--",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","--",""
"02/01/1955","--",""
"03/01/1955","--",""
"04/01/1955","--",""
"05/01/1955","--",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","--",""
"10/01/1955","--",""
"11/01/1955","--",""
"12/01/1955","--",""
"01/01/1956","--",""
"02/01/1956","--",""
"03/01/1956","--",""
"04/01/1956","--",""
"05/01/1956","--",""
"06/01/1956","--",""
"07/01/1956","--",""
"08/01/1956","--",""
"09/01/1956","--",""
"10/01/1956","--",""
"11/01/1956","--",""
"12/01/1956","--",""
"01/01/1957","--",""
"02/01/1957","--",""
"03/01/1957","--",""
"04/01/1957","--",""
"05/01/1957","--",""
"06/01/1957","--",""
"07/01/1957","--",""
"08/01/1957","--",""
"09/01/1957","--",""
"10/01/1957","--",""
"11/01/1957","--",""
"12/01/1957","--",""
"01/01/1958","--",""
"02/01/1958","--",""
"03/01/1958","--",""
"04/01/1958","--",""
"05/01/1958","--",""
"06/01/1958","--",""
"07/01/1958","--",""
"08/01/1958","--",""
"09/01/1958","--",""
"10/01/1958","--",""
"11/01/1958","--",""
"12/01/1958","--",""
"01/01/1959","--",""
"02/01/1959","--",""
"03/01/1959","--",""
"04/01/1959","--",""
"05/01/1959","--",""
"06/01/1959","--",""
"07/01/1959","--",""
"08/01/1959","--",""
"09/01/1959","--",""
"10/01/1959","--",""
"11/01/1959","--",""
"12/01/1959","--",""
"01/01/1960","--",""
"02/01/1960","--",""
"03/01/1960","--",""
"04/01/1960","--",""
"05/01/1960","--",""
"06/01/1960","--",""
"07/01/1960","--",""
"08/01/1960","--",""
"09/01/1960","--",""
"10/01/1960","--",""
"11/01/1960","--",""
"12/01/1960","--",""
"01/01/1961","--",""
"02/01/1961","--",""
"03/01/1961","--",""
"04/01/1961","--",""
"05/01/1961","--",""
"06/01/1961","--",""
"07/01/1961","--",""
"08/01/1961","--",""
"09/01/1961","--",""
"10/01/1961","--",""
"11/01/1961","--",""
"12/01/1961","--",""
"01/01/1962","--",""
"02/01/1962","--",""
"03/01/1962","--",""
"04/01/1962","--",""
"05/01/1962","--",""
"06/01/1962","--",""
"07/01/1962","--",""
"08/01/1962","--",""
"09/01/1962","--",""
"10/01/1962","--",""
"11/01/1962","--",""
"12/01/1962","--",""
"01/01/1963","--",""
"02/01/1963","--",""
"03/01/1963","--",""
"04/01/1963","--",""
"05/01/1963","--",""
"06/01/1963","--",""
"07/01/1963","--",""
"08/01/1963","--",""
"09/01/1963","--",""
"10/01/1963","--",""
"11/01/1963","--",""
"12/01/1963","--",""
"01/01/1964","--",""
"02/01/1964","--",""
"03/01/1964","--",""
"04/01/1964","--",""
"05/01/1964","--",""
"06/01/1964","--",""
"07/01/1964","--",""
"08/01/1964","--",""
"09/01/1964","--",""
"10/01/1964","--",""
"11/01/1964","--",""
"12/01/1964","--",""
"01/01/1965","--",""
"02/01/1965","--",""
"03/01/1965","--",""
"04/01/1965","--",""
"05/01/1965","--",""
"06/01/1965","--",""
"07/01/1965","--",""
"08/01/1965","--",""
"09/01/1965","--",""
"10/01/1965","--",""
"11/01/1965","--",""
"12/01/1965","--",""
"01/01/1966","--",""
"02/01/1966","--",""
"03/01/1966","--",""
"04/01/1966","--",""
"05/01/1966","--",""
"06/01/1966","--",""
"07/01/1966","--",""
"08/01/1966","--",""
"09/01/1966","--",""
"10/01/1966","--",""
"11/01/1966","--",""
"12/01/1966","--",""
"01/01/1967","--",""
"02/01/1967","--",""
"03/01/1967","--",""
"04/01/1967","--",""
"05/01/1967","--",""
"06/01/1967","--",""
"07/01/1967","--",""
"08/01/1967","--",""
"09/01/1967","--",""
"10/01/1967","--",""
"11/01/1967","--",""
"12/01/1967","--",""
"01/01/1968","--",""
"02/01/1968","--",""
"03/01/1968","--",""
"04/01/1968","--",""
"05/01/1968","--",""
"06/01/1968","--",""
"07/01/1968","--",""
"08/01/1968","--",""
"09/01/1968","--",""
"10/01/1968","--",""
"11/01/1968","--",""
"12/01/1968","--",""
"01/01/1969","--",""
"02/01/1969","--",""
"03/01/1969","--",""
"04/01/1969","--",""
"05/01/1969","--",""
"06/01/1969","--",""
"07/01/1969","--",""
"08/01/1969","--",""
"09/01/1969","--",""
"10/01/1969","--",""
"11/01/1969","--",""
"12/01/1969","--",""
"01/01/1970","--",""
"02/01/1970","--",""
"03/01/1970","--",""
"04/01/1970","--",""
"05/01/1970","--",""
"06/01/1970","--",""
"07/01/1970","--",""
"08/01/1970","--",""
"09/01/1970","--",""
"10/01/1970","--",""
"11/01/1970","--",""
"12/01/1970","--",""
"01/01/1971","--",""
"02/01/1971","--",""
"03/01/1971","--",""
"04/01/1971","--",""
"05/01/1971","--",""
"06/01/1971","--",""
"07/01/1971","--",""
"08/01/1971","--",""
"09/01/1971","--",""
"10/01/1971","--",""
"11/01/1971","--",""
"12/01/1971","--",""
"01/01/1972","--",""
"02/01/1972","--",""
"03/01/1972","--",""
"04/01/1972","--",""
"05/01/1972","--",""
"06/01/1972","--",""
"07/01/1972","--",""
"08/01/1972","--",""
"09/01/1972","--",""
"10/01/1972","--",""
"11/01/1972","--",""
"12/01/1972","--",""
"01/01/1973","--",""
"02/01/1973","--",""
"03/01/1973","--",""
"04/01/1973","--",""
"05/01/1973","--",""
"06/01/1973","--",""
"07/01/1973","--",""
"08/01/1973","--",""
"09/01/1973","--",""
"10/01/1973","--",""
"11/01/1973","--",""
"12/01/1973","--",""
"01/01/1974","--",""
"02/01/1974","--",""
"03/01/1974","--",""
"04/01/1974","--",""
"05/01/1974","--",""
"06/01/1974","--",""
"07/01/1974","--",""
"08/01/1974","--",""
"09/01/1974","161,770",""
"10/01/1974","161,770",""
"11/01/1974","151,850",""
"12/01/1974","157,930",""
"01/01/1975","162,770",""
"02/01/1975","149,100",""
"03/01/1975","161,150",""
"04/01/1975","167,330",""
"05/01/1975","167,720",""
"06/01/1975","162,520",""
"07/01/1975","161,020",""
"08/01/1975","167,590",""
"09/01/1975","163,700",""
"10/01/1975","164,540",""
"11/01/1975","168,230",""
"12/01/1975","166,310",""
"01/01/1976","163,650",""
"02/01/1976","164,160",""
"03/01/1976","163,020",""
"04/01/1976","166,570",""
"05/01/1976","165,170",""
"06/01/1976","164,410",""
"07/01/1976","160,650",""
"08/01/1976","164,410",""
"09/01/1976","163,290",""
"10/01/1976","166,570",""
"11/01/1976","168,100",""
"12/01/1976","166,190",""
"01/01/1977","167,460",""
"02/01/1977","166,820",""
"03/01/1977","166,440",""
"04/01/1977","166,060",""
"05/01/1977","167,080",""
"06/01/1977","167,590",""
"07/01/1977","167,590",""
"08/01/1977","167,330",""
"09/01/1977","165,300",""
"10/01/1977","167,080",""
"11/01/1977","166,820",""
"12/01/1977","167,840",""
"01/01/1978","163,280",""
"02/01/1978","164,030",""
"03/01/1978","--",""
"04/01/1978","169,640",""
"05/01/1978","165,930",""
"06/01/1978","161,900",""
"07/01/1978","165,300",""
"08/01/1978","165,420",""
"09/01/1978","166,830",""
"10/01/1978","165,040",""
"11/01/1978","166,950",""
"12/01/1978","160,900",""
"01/01/1979","164,660",""
"02/01/1979","165,550",""
"03/01/1979","166,440",""
"04/01/1979","168,230",""
"05/01/1979","159,900",""
"06/01/1979","168,230",""
"07/01/1979","164,030",""
"08/01/1979","164,410",""
"09/01/1979","168,490",""
"10/01/1979","165,550",""
"11/01/1979","165,300",""
"12/01/1979","164,030",""
"01/01/1980","166,440",""
"02/01/1980","168,230",""
"03/01/1980","169,000",""
"04/01/1980","160,280",""
"05/01/1980","163,900",""
"06/01/1980","165,300",""
"07/01/1980","129,830",""
"08/01/1980","130,590",""
"09/01/1980","131,030",""
"10/01/1980","131,900",""
"11/01/1980","137,600",""
"12/01/1980","142,230",""
"01/01/1981","165,750",""
"02/01/1981","160,770",""
"03/01/1981","165,610",""
"04/01/1981","163,090",""
"05/01/1981","163,550",""
"06/01/1981","159,740",""
"07/01/1981","157,180",""
"08/01/1981","165,750",""
"09/01/1981","159,960",""
