"DATE / TIME (PST)","RES ELE FEET","","STORAGE AF","","RES CHG AF","","TOC STO AF","","ABV TOC AF","","OUTFLOW CFS","","INFLOW CFS","","EVAP CFS","","RIV REL CFS","","PPT INC INCHES","","SPILL CFS",""
"01/01/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/02/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/03/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/04/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/05/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/06/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/07/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/08/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/09/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/10/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/11/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/12/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/13/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/14/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/15/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/16/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/17/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/18/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/19/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/20/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/21/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/22/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/23/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/24/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/25/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/26/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/27/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/28/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/29/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/30/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"01/31/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/01/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/02/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/03/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/04/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/05/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/06/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/07/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/08/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/09/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/10/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/11/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/12/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/13/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/14/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/15/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/16/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/17/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/18/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/19/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/20/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/21/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/22/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/23/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/24/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/25/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/26/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/27/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"02/28/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/01/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/02/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/03/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/04/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/05/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/06/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/07/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/08/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/09/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/10/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/11/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/12/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/13/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/14/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/15/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/16/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/17/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/18/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/19/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/20/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/21/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/22/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/23/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/24/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/25/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/26/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/27/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/28/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/29/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/30/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"03/31/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/01/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/02/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/03/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/04/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/05/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/06/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/07/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/08/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/09/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/10/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/11/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/12/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/13/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/14/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/15/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/16/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/17/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
"04/18/1970","--","","--","","--","","--","","--","","--","","--","","--","","--","","--","","--",""
