"DATE / TIME (PST)","RES ELE FEET","","STORAGE AF","","RES CHG AF","","OUTFLOW CFS","","INFLOW CFS",""
"01/01/1970","--","","--","","--","","--","","--",""
"01/02/1970","--","","--","","--","","--","","--",""
"01/03/1970","--","","--","","--","","--","","--",""
"01/04/1970","--","","--","","--","","--","","--",""
"01/05/1970","--","","--","","--","","--","","--",""
"01/06/1970","--","","--","","--","","--","","--",""
"01/07/1970","--","","--","","--","","--","","--",""
"01/08/1970","--","","--","","--","","--","","--",""
"01/09/1970","--","","--","","--","","--","","--",""
"01/10/1970","--","","--","","--","","--","","--",""
"01/11/1970","--","","--","","--","","--","","--",""
"01/12/1970","--","","--","","--","","--","","--",""
"01/13/1970","--","","--","","--","","--","","--",""
"01/14/1970","--","","--","","--","","--","","--",""
"01/15/1970","--","","--","","--","","--","","--",""
"01/16/1970","--","","--","","--","","--","","--",""
"01/17/1970","--","","--","","--","","--","","--",""
"01/18/1970","--","","--","","--","","--","","--",""
"01/19/1970","--","","--","","--","","--","","--",""
"01/20/1970","--","","--","","--","","--","","--",""
"01/21/1970","--","","--","","--","","--","","--",""
"01/22/1970","--","","--","","--","","--","","--",""
"01/23/1970","--","","--","","--","","--","","--",""
"01/24/1970","--","","--","","--","","--","","--",""
"01/25/1970","--","","--","","--","","--","","--",""
"01/26/1970","--","","--","","--","","--","","--",""
"01/27/1970","--","","--","","--","","--","","--",""
"01/28/1970","--","","--","","--","","--","","--",""
"01/29/1970","--","","--","","--","","--","","--",""
"01/30/1970","--","","--","","--","","--","","--",""
"01/31/1970","--","","--","","--","","--","","--",""
"02/01/1970","--","","--","","--","","--","","--",""
"02/02/1970","--","","--","","--","","--","","--",""
"02/03/1970","--","","--","","--","","--","","--",""
"02/04/1970","--","","--","","--","","--","","--",""
"02/05/1970","--","","--","","--","","--","","--",""
"02/06/1970","--","","--","","--","","--","","--",""
"02/07/1970","--","","--","","--","","--","","--",""
"02/08/1970","--","","--","","--","","--","","--",""
"02/09/1970","--","","--","","--","","--","","--",""
"02/10/1970","--","","--","","--","","--","","--",""
"02/11/1970","--","","--","","--","","--","","--",""
"02/12/1970","--","","--","","--","","--","","--",""
"02/13/1970","--","","--","","--","","--","","--",""
"02/14/1970","--","","--","","--","","--","","--",""
"02/15/1970","--","","--","","--","","--","","--",""
"02/16/1970","--","","--","","--","","--","","--",""
"02/17/1970","--","","--","","--","","--","","--",""
"02/18/1970","--","","--","","--","","--","","--",""
"02/19/1970","--","","--","","--","","--","","--",""
"02/20/1970","--","","--","","--","","--","","--",""
"02/21/1970","--","","--","","--","","--","","--",""
"02/22/1970","--","","--","","--","","--","","--",""
"02/23/1970","--","","--","","--","","--","","--",""
"02/24/1970","--","","--","","--","","--","","--",""
"02/25/1970","--","","--","","--","","--","","--",""
"02/26/1970","--","","--","","--","","--","","--",""
"02/27/1970","--","","--","","--","","--","","--",""
"02/28/1970","--","","--","","--","","--","","--",""
"03/01/1970","--","","--","","--","","--","","--",""
"03/02/1970","--","","--","","--","","--","","--",""
"03/03/1970","--","","--","","--","","--","","--",""
"03/04/1970","--","","--","","--","","--","","--",""
"03/05/1970","--","","--","","--","","--","","--",""
"03/06/1970","--","","--","","--","","--","","--",""
"03/07/1970","--","","--","","--","","--","","--",""
"03/08/1970","--","","--","","--","","--","","--",""
"03/09/1970","--","","--","","--","","--","","--",""
"03/10/1970","--","","--","","--","","--","","--",""
"03/11/1970","--","","--","","--","","--","","--",""
"03/12/1970","--","","--","","--","","--","","--",""
"03/13/1970","--","","--","","--","","--","","--",""
"03/14/1970","--","","--","","--","","--","","--",""
"03/15/1970","--","","--","","--","","--","","--",""
"03/16/1970","--","","--","","--","","--","","--",""
"03/17/1970","--","","--","","--","","--","","--",""
"03/18/1970","--","","--","","--","","--","","--",""
"03/19/1970","--","","--","","--","","--","","--",""
"03/20/1970","--","","--","","--","","--","","--",""
"03/21/1970","--","","--","","--","","--","","--",""
"03/22/1970","--","","--","","--","","--","","--",""
"03/23/1970","--","","--","","--","","--","","--",""
"03/24/1970","--","","--","","--","","--","","--",""
"03/25/1970","--","","--","","--","","--","","--",""
"03/26/1970","--","","--","","--","","--","","--",""
"03/27/1970","--","","--","","--","","--","","--",""
"03/28/1970","--","","--","","--","","--","","--",""
"03/29/1970","--","","--","","--","","--","","--",""
"03/30/1970","--","","--","","--","","--","","--",""
"03/31/1970","--","","--","","--","","--","","--",""
"04/01/1970","--","","--","","--","","--","","--",""
"04/02/1970","--","","--","","--","","--","","--",""
"04/03/1970","--","","--","","--","","--","","--",""
"04/04/1970","--","","--","","--","","--","","--",""
"04/05/1970","--","","--","","--","","--","","--",""
"04/06/1970","--","","--","","--","","--","","--",""
"04/07/1970","--","","--","","--","","--","","--",""
"04/08/1970","--","","--","","--","","--","","--",""
"04/09/1970","--","","--","","--","","--","","--",""
"04/10/1970","--","","--","","--","","--","","--",""
"04/11/1970","--","","--","","--","","--","","--",""
"04/12/1970","--","","--","","--","","--","","--",""
"04/13/1970","--","","--","","--","","--","","--",""
"04/14/1970","--","","--","","--","","--","","--",""
"04/15/1970","--","","--","","--","","--","","--",""
"04/16/1970","--","","--","","--","","--","","--",""
"04/17/1970","--","","--","","--","","--","","--",""
"04/18/1970","--","","--","","--","","--","","--",""
"04/19/1970","--","","--","","--","","--","","--",""
"04/20/1970","--","","--","","--","","--","","--",""
"04/21/1970","--","","--","","--","","--","","--",""
"04/22/1970","--","","--","","--","","--","","--",""
"04/23/1970","--","","--","","--","","--","","--",""
"04/24/1970","--","","--","","--","","--","","--",""
"04/25/1970","--","","--","","--","","--","","--",""
"04/26/1970","--","","--","","--","","--","","--",""
"04/27/1970","--","","--","","--","","--","","--",""
"04/28/1970","--","","--","","--","","--","","--",""
"04/29/1970","--","","--","","--","","--","","--",""
"04/30/1970","--","","--","","--","","--","","--",""
"05/01/1970","--","","--","","--","","--","","--",""
"05/02/1970","--","","--","","--","","--","","--",""
"05/03/1970","--","","--","","--","","--","","--",""
"05/04/1970","--","","--","","--","","--","","--",""
"05/05/1970","--","","--","","--","","--","","--",""
"05/06/1970","--","","--","","--","","--","","--",""
"05/07/1970","--","","--","","--","","--","","--",""
"05/08/1970","--","","--","","--","","--","","--",""
"05/09/1970","--","","--","","--","","--","","--",""
"05/10/1970","--","","--","","--","","--","","--",""
"05/11/1970","--","","--","","--","","--","","--",""
"05/12/1970","--","","--","","--","","--","","--",""
"05/13/1970","--","","--","","--","","--","","--",""
"05/14/1970","--","","--","","--","","--","","--",""
"05/15/1970","--","","--","","--","","--","","--",""
"05/16/1970","--","","--","","--","","--","","--",""
"05/17/1970","--","","--","","--","","--","","--",""
"05/18/1970","--","","--","","--","","--","","--",""
"05/19/1970","--","","--","","--","","--","","--",""
"05/20/1970","--","","--","","--","","--","","--",""
"05/21/1970","--","","--","","--","","--","","--",""
"05/22/1970","--","","--","","--","","--","","--",""
"05/23/1970","--","","--","","--","","--","","--",""
"05/24/1970","--","","--","","--","","--","","--",""
"05/25/1970","--","","--","","--","","--","","--",""
"05/26/1970","--","","--","","--","","--","","--",""
"05/27/1970","--","","--","","--","","--","","--",""
"05/28/1970","--","","--","","--","","--","","--",""
"05/29/1970","--","","--","","--","","--","","--",""
"05/30/1970","--","","--","","--","","--","","--",""
"05/31/1970","--","","--","","--","","--","","--",""
"06/01/1970","--","","--","","--","","--","","--",""
"06/02/1970","--","","--","","--","","--","","--",""
"06/03/1970","--","","--","","--","","--","","--",""
"06/04/1970","--","","--","","--","","--","","--",""
"06/05/1970","--","","--","","--","","--","","--",""
"06/06/1970","--","","--","","--","","--","","--",""
"06/07/1970","--","","--","","--","","--","","--",""
"06/08/1970","--","","--","","--","","--","","--",""
"06/09/1970","--","","--","","--","","--","","--",""
"06/10/1970","--","","--","","--","","--","","--",""
"06/11/1970","--","","--","","--","","--","","--",""
"06/12/1970","--","","--","","--","","--","","--",""
"06/13/1970","--","","--","","--","","--","","--",""
"06/14/1970","--","","--","","--","","--","","--",""
"06/15/1970","--","","--","","--","","--","","--",""
"06/16/1970","--","","--","","--","","--","","--",""
"06/17/1970","--","","--","","--","","--","","--",""
"06/18/1970","--","","--","","--","","--","","--",""
"06/19/1970","--","","--","","--","","--","","--",""
"06/20/1970","--","","--","","--","","--","","--",""
"06/21/1970","--","","--","","--","","--","","--",""
"06/22/1970","--","","--","","--","","--","","--",""
"06/23/1970","--","","--","","--","","--","","--",""
"06/24/1970","--","","--","","--","","--","","--",""
"06/25/1970","--","","--","","--","","--","","--",""
"06/26/1970","--","","--","","--","","--","","--",""
"06/27/1970","--","","--","","--","","--","","--",""
"06/28/1970","--","","--","","--","","--","","--",""
"06/29/1970","--","","--","","--","","--","","--",""
"06/30/1970","--","","--","","--","","--","","--",""
"07/01/1970","--","","--","","--","","--","","--",""
"07/02/1970","--","","--","","--","","--","","--",""
"07/03/1970","--","","--","","--","","--","","--",""
"07/04/1970","--","","--","","--","","--","","--",""
"07/05/1970","--","","--","","--","","--","","--",""
"07/06/1970","--","","--","","--","","--","","--",""
"07/07/1970","--","","--","","--","","--","","--",""
"07/08/1970","--","","--","","--","","--","","--",""
"07/09/1970","--","","--","","--","","--","","--",""
"07/10/1970","--","","--","","--","","--","","--",""
"07/11/1970","--","","--","","--","","--","","--",""
"07/12/1970","--","","--","","--","","--","","--",""
