"DATE / TIME (PDT)","STORAGE AF",""
"01/01/1950","--",""
"02/01/1950","--",""
"03/01/1950","--",""
"04/01/1950","--",""
"05/01/1950","--",""
"06/01/1950","--",""
"07/01/1950","--",""
"08/01/1950","--",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","--",""
"02/01/1951","--",""
"03/01/1951","--",""
"04/01/1951","--",""
"05/01/1951","--",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","--",""
"02/01/1952","--",""
"03/01/1952","--",""
"04/01/1952","--",""
"05/01/1952","--",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","--",""
"02/01/1953","--",""
"03/01/1953","--",""
"04/01/1953","--",""
"05/01/1953","--",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","--",""
"01/01/1954","--",""
"02/01/1954","--",""
"03/01/1954","--",""
"04/01/1954","--",""
"05/01/1954","--",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","--",""
"02/01/1955","--",""
"03/01/1955","--",""
"04/01/1955","--",""
"05/01/1955","--",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","--",""
"10/01/1955","--",""
"11/01/1955","--",""
"12/01/1955","--",""
"01/01/1956","--",""
"02/01/1956","--",""
"03/01/1956","--",""
"04/01/1956","--",""
"05/01/1956","--",""
"06/01/1956","--",""
"07/01/1956","--",""
"08/01/1956","--",""
"09/01/1956","--",""
"10/01/1956","--",""
"11/01/1956","--",""
"12/01/1956","--",""
"01/01/1957","--",""
"02/01/1957","--",""
"03/01/1957","--",""
"04/01/1957","--",""
"05/01/1957","--",""
"06/01/1957","--",""
"07/01/1957","--",""
"08/01/1957","--",""
"09/01/1957","--",""
"10/01/1957","--",""
"11/01/1957","--",""
"12/01/1957","--",""
"01/01/1958","--",""
"02/01/1958","--",""
"03/01/1958","--",""
"04/01/1958","--",""
"05/01/1958","--",""
"06/01/1958","--",""
"07/01/1958","--",""
"08/01/1958","--",""
"09/01/1958","--",""
"10/01/1958","--",""
"11/01/1958","--",""
"12/01/1958","--",""
"01/01/1959","--",""
"02/01/1959","--",""
"03/01/1959","--",""
"04/01/1959","--",""
"05/01/1959","--",""
"06/01/1959","--",""
"07/01/1959","--",""
"08/01/1959","--",""
"09/01/1959","--",""
"10/01/1959","--",""
"11/01/1959","--",""
"12/01/1959","--",""
"01/01/1960","--",""
"02/01/1960","--",""
"03/01/1960","--",""
"04/01/1960","--",""
"05/01/1960","--",""
"06/01/1960","--",""
"07/01/1960","--",""
"08/01/1960","--",""
"09/01/1960","--",""
"10/01/1960","--",""
"11/01/1960","--",""
"12/01/1960","--",""
"01/01/1961","--",""
"02/01/1961","--",""
"03/01/1961","--",""
"04/01/1961","--",""
"05/01/1961","--",""
"06/01/1961","--",""
"07/01/1961","--",""
"08/01/1961","--",""
"09/01/1961","--",""
"10/01/1961","--",""
"11/01/1961","--",""
"12/01/1961","--",""
"01/01/1962","--",""
"02/01/1962","--",""
"03/01/1962","--",""
"04/01/1962","--",""
"05/01/1962","--",""
"06/01/1962","--",""
"07/01/1962","--",""
"08/01/1962","--",""
"09/01/1962","--",""
"10/01/1962","--",""
"11/01/1962","--",""
"12/01/1962","--",""
"01/01/1963","--",""
"02/01/1963","--",""
"03/01/1963","--",""
"04/01/1963","--",""
"05/01/1963","--",""
"06/01/1963","--",""
"07/01/1963","--",""
"08/01/1963","--",""
"09/01/1963","--",""
"10/01/1963","--",""
"11/01/1963","--",""
"12/01/1963","--",""
"01/01/1964","--",""
"02/01/1964","--",""
"03/01/1964","--",""
"04/01/1964","--",""
"05/01/1964","--",""
"06/01/1964","--",""
"07/01/1964","--",""
"08/01/1964","--",""
"09/01/1964","--",""
"10/01/1964","--",""
"11/01/1964","--",""
"12/01/1964","--",""
"01/01/1965","--",""
"02/01/1965","--",""
"03/01/1965","--",""
"04/01/1965","--",""
"05/01/1965","--",""
"06/01/1965","--",""
"07/01/1965","--",""
"08/01/1965","--",""
"09/01/1965","--",""
"10/01/1965","--",""
"11/01/1965","--",""
"12/01/1965","--",""
"01/01/1966","--",""
"02/01/1966","--",""
"03/01/1966","--",""
"04/01/1966","--",""
"05/01/1966","--",""
"06/01/1966","--",""
"07/01/1966","--",""
"08/01/1966","--",""
"09/01/1966","--",""
"10/01/1966","--",""
"11/01/1966","--",""
"12/01/1966","--",""
"01/01/1967","--",""
"02/01/1967","--",""
"03/01/1967","--",""
"04/01/1967","--",""
"05/01/1967","--",""
"06/01/1967","--",""
"07/01/1967","--",""
"08/01/1967","--",""
"09/01/1967","--",""
"10/01/1967","--",""
"11/01/1967","--",""
"12/01/1967","--",""
"01/01/1968","--",""
"02/01/1968","--",""
"03/01/1968","--",""
"04/01/1968","--",""
"05/01/1968","--",""
"06/01/1968","--",""
"07/01/1968","--",""
"08/01/1968","--",""
"09/01/1968","--",""
"10/01/1968","--",""
"11/01/1968","--",""
"12/01/1968","--",""
"01/01/1969","--",""
"02/01/1969","--",""
"03/01/1969","--",""
"04/01/1969","--",""
"05/01/1969","--",""
"06/01/1969","--",""
"07/01/1969","--",""
"08/01/1969","--",""
"09/01/1969","--",""
"10/01/1969","--",""
"11/01/1969","--",""
"12/01/1969","--",""
"01/01/1970","--",""
"02/01/1970","--",""
"03/01/1970","--",""
"04/01/1970","--",""
"05/01/1970","--",""
"06/01/1970","--",""
"07/01/1970","--",""
"08/01/1970","--",""
"09/01/1970","--",""
"10/01/1970","--",""
"11/01/1970","--",""
"12/01/1970","--",""
"01/01/1971","--",""
"02/01/1971","--",""
"03/01/1971","--",""
"04/01/1971","--",""
"05/01/1971","--",""
"06/01/1971","--",""
"07/01/1971","--",""
"08/01/1971","--",""
"09/01/1971","--",""
"10/01/1971","--",""
"11/01/1971","--",""
"12/01/1971","--",""
"01/01/1972","--",""
"02/01/1972","--",""
"03/01/1972","--",""
"04/01/1972","--",""
"05/01/1972","--",""
"06/01/1972","--",""
"07/01/1972","--",""
"08/01/1972","--",""
"09/01/1972","--",""
"10/01/1972","--",""
"11/01/1972","--",""
"12/01/1972","--",""
"01/01/1973","--",""
"02/01/1973","--",""
"03/01/1973","--",""
"04/01/1973","--",""
"05/01/1973","--",""
"06/01/1973","--",""
"07/01/1973","--",""
"08/01/1973","--",""
"09/01/1973","--",""
"10/01/1973","--",""
"11/01/1973","--",""
"12/01/1973","--",""
"01/01/1974","--",""
"02/01/1974","--",""
"03/01/1974","--",""
"04/01/1974","--",""
"05/01/1974","--",""
"06/01/1974","--",""
"07/01/1974","--",""
"08/01/1974","--",""
"09/01/1974","119,640",""
"10/01/1974","119,640",""
"11/01/1974","114,840",""
"12/01/1974","114,370",""
"01/01/1975","160,310",""
"02/01/1975","194,720",""
"03/01/1975","222,410",""
"04/01/1975","202,760",""
"05/01/1975","169,460",""
"06/01/1975","164,000",""
"07/01/1975","169,930",""
"08/01/1975","185,710",""
"09/01/1975","189,200",""
"10/01/1975","208,330",""
"11/01/1975","222,790",""
"12/01/1975","236,250",""
"01/01/1976","257,120",""
"02/01/1976","263,040",""
"03/01/1976","285,750",""
"04/01/1976","283,270",""
"05/01/1976","267,020",""
"06/01/1976","236,620",""
"07/01/1976","237,370",""
"08/01/1976","227,910",""
"09/01/1976","237,180",""
"10/01/1976","211,680",""
"11/01/1976","196,070",""
"12/01/1976","160,920",""
"01/01/1977","136,800",""
"02/01/1977","120,690",""
"03/01/1977","108,490",""
"04/01/1977","93,720",""
"05/01/1977","86,490",""
"06/01/1977","77,170",""
"07/01/1977","64,450",""
"08/01/1977","60,720",""
"09/01/1977","58,460",""
"10/01/1977","55,880",""
"11/01/1977","53,040",""
"12/01/1977","51,040",""
"01/01/1978","87,710",""
"02/01/1978","185,380",""
"03/01/1978","303,090",""
"04/01/1978","318,590",""
"05/01/1978","314,170",""
"06/01/1978","309,360",""
"07/01/1978","294,130",""
"08/01/1978","277,110",""
"09/01/1978","--",""
"10/01/1978","246,660",""
"11/01/1978","273,860",""
"12/01/1978","293,710",""
"01/01/1979","292,450",""
"02/01/1979","306,110",""
"03/01/1979","318,360",""
"04/01/1979","318,360",""
"05/01/1979","317,920",""
"06/01/1979","297,530",""
"07/01/1979","278,750",""
"08/01/1979","260,040",""
"09/01/1979","270,430",""
"10/01/1979","266,620",""
"11/01/1979","269,830",""
"12/01/1979","283,680",""
"01/01/1980","299,020",""
"02/01/1980","319,910",""
"03/01/1980","318,800",""
"04/01/1980","317,920",""
"05/01/1980","313,510",""
"06/01/1980","296,890",""
"07/01/1980","305,240",""
"08/01/1980","292,030",""
"09/01/1980","262,040",""
"10/01/1980","236,430",""
"11/01/1980","226,070",""
"12/01/1980","214,700",""
"01/01/1981","210,970",""
"02/01/1981","238,740",""
"03/01/1981","287,570",""
"04/01/1981","278,730",""
"05/01/1981","278,730",""
"06/01/1981","247,890",""
"07/01/1981","212,440",""
"08/01/1981","171,000",""
"09/01/1981","160,470",""
