SITE_NO,STATION_NM,REG,SQMI,ABS_DIFF
01010000,"St. John River at Ninemile Bridge, Maine",01,1342.3295,0.0010
01010070,"Big Black River near Depot Mtn, Maine",01,183.8212,0.0750
01010100,"Shields Br Big Black River nr Seven Islands, ME",01,156.4525,0.0098
01010500,"St. John River at Dickey, Maine",01,2687.7299,0.0029
01012515,CLAYTON STREAM AT OUTLET CLAYTON LAKE ME SITE 6,01,13.2814,0.0216
01012520,BALD MOUNTAIN BROOK NR BALD MOUNTAIN ME SITE 2,01,1.7788,0.1237
01012525,BISHOP MOUNTAIN BROOK NR BISHOP MTN ME  SITE 14,01,1.0942,0.0323
01012570,FISH RIVER AT INLET FISH RIVER LAKE ME SITE 4,01,69.6099,0.0098
01013500,"Fish River near Fort Kent, Maine",01,868.8946,0.0047
01014000,"St. John River below Fish R, at Fort Kent, Maine",01,5672.5786,0.0432
01015010,"ST. JOHN RIVER NEAR HAMLIN, MAINE",01,8247.2495,0.0280
01015800,"Aroostook River near Masardis, Maine",01,893.3408,0.0015
01016500,"MACHIAS RIVER NEAR ASHLAND, ME",01,327.3248,0.0051
01017000,"Aroostook River at Washburn, Maine",01,1652.0860,0.0012
01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",01,5.7391,0.0069
01017290,"Little Madawaska River at Caribou, Maine",01,231.7849,0.0095
01017500,"AROOSTOOK RIVER AT FORT FAIRFIELD, ME",01,2301.2595,0.0001
01017550,"Williams Brook at Phair, Maine",01,3.8735,0.0140
01017900,"MARLEY BROOK NEAR LUDLOW, ME",01,1.4720,0.0013
01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",01,87.3566,0.0073
01018000,"Meduxnekeag River near Houlton, Maine",01,173.9278,0.0061
01018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",01,259.4239,0.0094
01018500,"St. Croix River at Vanceboro, Maine",01,411.8535,0.0028
01019000,"Grand Lake Stream at Grand Lake Stream, Maine",01,239.6228,0.0556
01020000,"ST. CROIX RIVER NEAR BAILEYVILLE, ME",01,1310.3615,0.0035
01021000,"St. Croix River at Baring, Maine",01,1414.4511,0.0294
01021050,"St. Criox River at Milltown, Maine",01,1495.5945,0.0279
01021230,"Cathance Stream at Edmunds, Maine",01,33.0932,0.0120
01021452,Mopang Stream near Beddington ME,01,18.7419,0.0031
01021466,"Black Brook near Northfield, Maine",01,1.6614,0.0449
01021480,"Old Stream near Wesley, Maine",01,29.6287,0.0182
01021500,"Machias River at Whitneyville, Maine",01,457.1964,0.0018
01022000,"EAST MACHIAS RIVER NEAR EAST MACHIAS, ME",01,251.9170,0.0037
01022220,"Pleasant River near Crebo Flat, Maine",01,25.0488,0.0177
01022260,"Pleasant River near Epping, Maine",01,62.5458,0.0321
01022330,"Narraguagus River at Deblois, Maine",01,102.2441,0.0595
01022500,"Narraguagus River at Cherryfield, Maine",01,227.2411,0.0011
01022800,"Old Mill Brook at Old Norway Dr nr Bar Harbor, ME",01,1.7211,0.1104
01022805,"Old Mill Brk bl Crooked Rd nr Bar Harbor, Maine",01,2.6131,0.0128
01023000,"WEST BRANCH UNION RIVER AT AMHERST, ME",01,145.9903,0.0136
01024200,"GARLAND BROOK NEAR MARIAVILLE, ME",01,9.7144,0.0077
01025000,"GREEN LAKE STREAM AT LAKEWOOD, ME",01,46.0803,0.0196
01026000,"BRANCH LAKE STREAM NEAR ELLSWORTH, ME (S2)",01,30.9787,0.0007
01027200,"North Branch Penobscot River nr Pittston Farm, ME",01,224.7291,0.0313
01028000,"WEST BRANCH PENOBSCOT RIVER NEAR MEDWAY, ME",01,2150.3606,0.0167
01029200,"Seboeis River near Shin Pond, Maine",01,171.7949,0.0070
01030000,"PENOBSCOT RIVER NEAR MATTAWAMKEAG, ME",01,3371.8088,0.0852
01030350,Wytopitlock Stream near Wytopitlock Maine,01,49.2741,0.0097
01030500,"Mattawamkeag River near Mattawamkeag, Maine",01,1419.3698,0.0010
01031000,"MATTAWAMKEAG RIVER AT MATTAWAMKEAG, ME",01,1508.6438,0.0011
01031300,"Piscataquis River at Blanchard, Maine",01,117.5197,0.0041
01031450,"Kingsbury Stream at Abbot Village, Maine",01,92.3135,0.0324
01031500,"Piscataquis River near Dover-Foxcroft, Maine",01,296.9295,0.0036
01031510,"Black Stream near Dover-Foxcroft, Maine",01,27.0674,0.0411
01031600,"MORRISON BROOK NEAR SEBEC CORNERS, ME",01,4.0601,0.0667
01033000,"SEBEC RIVER AT SEBEC, ME",01,326.0047,0.0000
01033500,"PLEASANT RIVER NEAR MILO, ME",01,321.9936,0.0031
01034000,"Piscataquis River at Medford, Maine",01,1162.6355,0.0005
01034500,"Penobscot River at West Enfield, Maine",01,6697.8242,0.0430
01035000,"PASSADUMKEAG RIVER AT LOWELL, ME",01,296.0101,0.0033
01035500,"COLD STREAM AT ENFIELD, ME",01,28.1599,0.0119
01036000,"PENOBSCOT RIVER AT PASSADUMKEAG, ME",01,7108.2537,0.0529
01036390,"Penobscot River at Eddington, Maine",01,7789.5676,0.0365
01036500,"KENDUSKEAG STREAM NEAR KENDUSKEAG, ME",01,151.1578,0.1411
01037000,"KENDUSKEAG STREAM NEAR BANGOR, ME",01,169.4052,0.1357
01037380,"Ducktrap River near Lincolnville, Maine",01,15.0668,0.0463
01038000,"Sheepscot River at North Whitefield, Maine",01,144.8203,0.0012
01039000,"MOOSE RIVER NEAR ROCKWOOD, ME",01,716.9813,0.0127
01040500,"MOOSEHEAD LAKE AT EAST OUTLET, ME",01,1270.7115,0.0021
01041000,"KENNEBEC RIVER AT MOOSEHEAD, ME",01,1271.5260,0.0028
01042500,"Kennebec River at The Forks, Maine",01,1592.4153,0.0015
01043500,"DEAD RIVER NEAR DEAD RIVER, ME",01,518.7987,0.0054
01044550,"Spencer Stream at mouth, near Grand Falls, Maine",01,194.6792,0.0087
01045000,"DEAD RIVER AT THE FORKS, ME",01,870.2762,0.0038
01046000,"AUSTIN STREAM AT BINGHAM, ME",01,93.8835,0.0432
01046500,"Kennebec River at Bingham, Maine",01,2724.6698,0.0036
01047000,"Carrabassett River near North Anson, Maine",01,352.6134,0.0011
01047200,"Sandy River near Madrid, Maine",01,25.3459,0.0018
01047500,"SANDY RIVER NEAR FARMINGTON, ME",01,245.0916,0.0128
01047730,"Wilson Stream at East Wilton, Maine",01,45.9847,0.0040
01048000,"Sandy River near Mercer, Maine",01,517.0561,0.0020
01048220,"East Branch Wesserunsett Stream near Athens, Maine",01,19.0692,0.0221
01048500,"KENNEBEC RIVER AT WATERVILLE, ME",01,4232.7128,0.0011
01049000,"Sebasticook River near Pittsfield, Maine",01,574.7512,0.0048
01049130,"JOHNSON BROOK AT SOUTH ALBION,ME",01,2.9450,0.0086
01049205,"Kennebec River near Waterville, ME",01,5181.0825,0.0004
