WEAP_name,SWITCH_name,generation_plant_id,load_zone_id,load_zone_name,gen_tech,energy_source,capacity_limit_mw,capacity_weight,Avg_Annual_Generation_GWh_SWITCH,Notes,RoR_or_Reservoir
Alamo,Alamo,154661,16,CA_SCE_CEN,Hydro_NonPumped,Water,19.6,1,67.01005556,,RoR
Albeni Falls,Albeni Falls,154660,43,WA_ID_AVA,Hydro_NonPumped,Water,42,1,197.597611,,Reservoir
Alcova,Alcova,154852,49,WY_SE,Hydro_NonPumped,Water,41.4,1,99.79783333,,RoR
Alder,Alder,154778,46,WA_W,Hydro_NonPumped,Water,50,1,204.8349829,,Reservoir
Alexander Reservoir,Soda,154650,26,ID_E,Hydro_NonPumped,Water,14.5,1,17.18066683,,Reservoir
All American Hydro,Drop 5,154444,10,CA_IID,Hydro_NonPumped,Water,4,0.082474227,13.75733877,There are 5 small hydropower generators on the All American Canal so this 1 WEAP generator is mapped to 5 SWITCH generatrors,RoR
All American Hydro,Drop 2 (CA),154492,10,CA_IID,Hydro_NonPumped,Water,10,0.206185567,46.79633676,There are 5 small hydropower generators on the All American Canal so this 1 WEAP generator is mapped to 5 SWITCH generatrors,RoR
All American Hydro,Drop 3 (CA),154493,10,CA_IID,Hydro_NonPumped,Water,9.2,0.189690722,45.41359781,There are 5 small hydropower generators on the All American Canal so this 1 WEAP generator is mapped to 5 SWITCH generatrors,RoR
All American Hydro,Drop 4,154494,10,CA_IID,Hydro_NonPumped,Water,19.6,0.404123711,87.27592955,There are 5 small hydropower generators on the All American Canal so this 1 WEAP generator is mapped to 5 SWITCH generatrors,RoR
All American Hydro,Drop 1,154619,10,CA_IID,Hydro_NonPumped,Water,5.7,0.117525773,14.6850096,There are 5 small hydropower generators on the All American Canal so this 1 WEAP generator is mapped to 5 SWITCH generatrors,RoR
American Falls,American Falls,154632,26,ID_E,Hydro_NonPumped,Water,92.4,1,311.5588333,,Reservoir
Anderson Ranch,Anderson Ranch,154840,27,ID_S_OR_E,Hydro_NonPumped,Water,40,1,123.3018889,,Reservoir
Balch 1,Balch 1,154380,13,CA_PGE_CEN,Hydro_NonPumped,Water,31,1,104.2240556,,RoR
Balch 2,Balch 2,154381,13,CA_PGE_CEN,Hydro_NonPumped,Water,97.2,1,385.095,,RoR
Balch Storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Already in SWITCH list,Reservoir
Bank Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not in SWITCH list,Reservoir
Bartlett Reservoir,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not in SWITCH list,Reservoir
Bear Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not in SWITCH list,Reservoir
Belden,Belden,154382,14,CA_PGE_N,Hydro_NonPumped,Water,117.9,1,272.9187368,,RoR
Big Creek 1,Big Creek 1,154449,13,CA_PGE_CEN,Hydro_NonPumped,Water,88.4,1,329.4443333,,RoR
Big Creek 2,Big Creek 2,154450,13,CA_PGE_CEN,Hydro_NonPumped,Water,66.6,1,300.1477777,,RoR
Big Creek 2a,Big Creek 2A,154454,13,CA_PGE_CEN,Hydro_NonPumped,Water,110,1,349.0308421,,RoR
Big Creek 3,Big Creek 3,154451,13,CA_PGE_CEN,Hydro_NonPumped,Water,174.5,1,666.8238947,,RoR
Big Creek 4,Big Creek 4,154452,13,CA_PGE_CEN,Hydro_NonPumped,Water,100,1,361.9007368,,Reservoir
Big Creek 8,Big Creek 8,154453,13,CA_PGE_CEN,Hydro_NonPumped,Water,75,1,219.445111,,RoR
Bliss,Bliss,154633,27,ID_S_OR_E,Hydro_NonPumped,Water,75,1,332.1735001,,RoR
Blue Mesa,Blue Mesa,154600,25,CO_SW,Hydro_NonPumped,Water,86.4,1,227.6497222,,Reservoir
Bonneville,Bonneville,154722,38,OR_PDX,Hydro_NonPumped,Water,1162,1,4599.248789,,RoR
Boundary,Boundary,154859,43,WA_ID_AVA,Hydro_NonPumped,Water,1118.6,1,3650.577426,,Reservoir
Box Canyon,Box Canyon,154776,43,WA_ID_AVA,Hydro_NonPumped,Water,90,1,426.9993889,,RoR
Boysen Reservoir,Boysen,154593,48,WY_NW,Hydro_NonPumped,Water,15,1,52.45911111,,Reservoir
Brownlee,Brownlee,154634,27,ID_S_OR_E,Hydro_NonPumped,Water,675,1,2118.804058,,Reservoir
