# Created by WEAP: 9/4/2020 10:28:17 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: OR_PDX_Oak Grove Frk Clackamas (50,826 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (30,123 ha),  1000 - 2000 m (20,703 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m

1970, 1, 613.8, 710.4, 0.8698, -1.106, 3.299, 3.307
1970, 2, 215.9, 238.1, 4.485, 2.545, 2.432, 2.418
1970, 3, 190.1, 210.9, 4.489, 2.492, 2.37, 2.36
1970, 4, 232.2, 248.9, 4.679, 2.623, 2.991, 2.987
1970, 5, 69.83, 71.88, 10.29, 8.308, 2.438, 2.428
1970, 6, 58.83, 64.92, 15.3, 13.49, 2.519, 2.498
1970, 7, 3.927, 2.91, 16.9, 15.08, 2.68, 2.658
1970, 8, 2.993, 3.427, 16.66, 14.94, 2.548, 2.532
1970, 9, 123.8, 126.8, 11.77, 9.861, 2.207, 2.202
1970, 10, 157.6, 173.2, 7.984, 6.181, 2.441, 2.433
1970, 11, 393.9, 438.5, 3.966, 2.03, 3.187, 3.182
1970, 12, 364.2, 421.6, 0.1516, -1.837, 3.549, 3.548
1971, 1, 482.8, 574.2, -0.2869, -2.21, 3.304, 3.305
1971, 2, 299.7, 339.1, 1.855, 0.1042, 2.93, 2.926
1971, 3, 323.6, 361.9, 1.931, -0.2119, 3.137, 3.129
1971, 4, 166.9, 177.2, 6.096, 4.001, 2.438, 2.434
1971, 5, 104.5, 111.2, 10.22, 8.268, 2.926, 2.921
1971, 6, 106.1, 103.4, 11.29, 9.313, 1.978, 1.969
1971, 7, 12.47, 12.74, 17.02, 15.34, 2.429, 2.411
1971, 8, 49.01, 49.83, 17.87, 16.22, 2.516, 2.499
1971, 9, 146.4, 154.9, 12.2, 10.39, 2.385, 2.383
1971, 10, 160.3, 166.9, 7.262, 5.527, 2.075, 2.076
1971, 11, 396.1, 444.2, 3.13, 1.299, 2.793, 2.796
1971, 12, 411.5, 475.1, 0.0008902, -2.024, 3.567, 3.584
1972, 1, 512.7, 604.4, -0.911, -2.833, 3.583, 3.596
1972, 2, 345.1, 390.9, 1.984, 0.1087, 3.34, 3.333
1972, 3, 351.6, 390.4, 5.175, 3.173, 2.517, 2.509
1972, 4, 266.6, 283.7, 5.053, 3.036, 2.663, 2.658
1972, 5, 103.6, 110.2, 11.5, 9.532, 2.136, 2.13
1972, 6, 34.63, 35.11, 13.39, 11.54, 2.527, 2.507
1972, 7, 7.422, 6.32, 17.76, 16.02, 2.517, 2.498
1972, 8, 13.8, 16.42, 17.93, 16.25, 2.471, 2.456
1972, 9, 154.6, 158.6, 12.09, 10.23, 2.176, 2.166
1972, 10, 57.1, 60.81, 8.336, 6.778, 1.738, 1.735
1972, 11, 207.4, 234.7, 4.49, 2.619, 2.557, 2.545
1972, 12, 394.1, 456.2, -1.522, -3.441, 3.487, 3.478
1973, 1, 228.2, 269.2, -0.5786, -2.476, 3.461, 3.442
1973, 2, 82.49, 90.94, 3.991, 2.101, 2.36, 2.349
1973, 3, 171.6, 182.5, 4.207, 2.193, 2.413, 2.411
1973, 4, 105.9, 119.6, 7.412, 5.399, 2.004, 2.004
1973, 5, 77.82, 84.41, 11.78, 9.905, 2.271, 2.264
1973, 6, 105.8, 112.4, 13.29, 11.48, 2.309, 2.296
1973, 7, 3.721, 3.169, 16.96, 15.12, 2.444, 2.434
1973, 8, 42.74, 45.72, 14.83, 13.07, 2.517, 2.509
1973, 9, 149.2, 152.3, 13.83, 12.03, 2.14, 2.134
1973, 10, 137.4, 148.2, 8.051, 6.323, 1.783, 1.776
1973, 11, 597.6, 690, 1.655, -0.436, 3.429, 3.439
1973, 12, 473.3, 561, 2.626, 0.7117, 3.375, 3.372
1974, 1, 465.4, 562.4, -1.162, -3.194, 3.52, 3.511
1974, 2, 345.9, 395.3, 1.552, -0.237, 3.077, 3.064
1974, 3, 317.4, 360, 3.982, 1.91, 2.882, 2.864
1974, 4, 198.5, 227.3, 6.24, 4.173, 2.625, 2.616
1974, 5, 163.8, 174.2, 8.561, 6.494, 2.151, 2.143
1974, 6, 57.86, 64.79, 13.76, 11.91, 2.875, 2.861
1974, 7, 53.63, 48.21, 15.53, 13.67, 2.396, 2.387
1974, 8, 9.303, 12.84, 16.85, 15.19, 2.528, 2.519
1974, 9, 8.673, 8.203, 16.79, 15.08, 1.872, 1.857
1974, 10, 75.47, 74.71, 10.01, 8.493, 1.621, 1.615
1974, 11, 300, 334.9, 4.505, 2.694, 2.915, 2.917
1974, 12, 406.2, 487, 2.241, 0.2649, 3.045, 3.037
1975, 1, 396.1, 480.5, 1.26, -0.6519, 3.028, 3.038
