# Created by WEAP: 9/4/2020 10:28:56 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: OR_W_Klamath (1,759,114 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (769,785 ha),  1000 - 2000 m (944,405 ha),  2000 - 3000 m (44,021 ha),  3000 - 4000 m (887 ha),  4000 - 5000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 4000 to 5000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 4000 to 5000 m

1970, 1, 585, 633.7, 612.1, 553.3, 563.4, 4.153, 1.179, -2.32, -9.983, -10.37, 4.297, 4.233, 4.09, 4.005, 4.007
1970, 2, 113.6, 119.2, 125.7, 150.9, 154, 6.571, 3.645, 0.1559, -7.37, -7.749, 2.601, 2.533, 2.399, 2.288, 2.288
1970, 3, 85.24, 86.36, 83.63, 90.65, 92.51, 7.697, 4.865, 1.13, -6.906, -7.291, 3.309, 3.193, 2.983, 2.772, 2.773
1970, 4, 48.52, 45.5, 52.7, 52.52, 53.61, 7.274, 4.584, 1.041, -6.618, -6.999, 3.066, 2.965, 2.737, 2.544, 2.544
1970, 5, 40.02, 30.95, 20.32, 11.61, 11.92, 14.15, 11.94, 8.817, 0.9123, 0.5317, 3.101, 2.97, 2.742, 2.461, 2.462
1970, 6, 18.82, 26.06, 42.28, 27.06, 27.45, 18.64, 16.71, 13.53, 5.548, 5.163, 3.089, 2.958, 2.71, 2.354, 2.355
1970, 7, 4.31, 3.885, 2.341, 0, 0, 21.88, 20.2, 17.22, 9.392, 9.004, 3.247, 3.074, 2.779, 2.321, 2.321
1970, 8, 0.0007913, 0.001444, 0.001411, 0, 0, 20.83, 19.09, 16.07, 8.28, 7.889, 2.901, 2.749, 2.49, 2.109, 2.109
1970, 9, 2.823, 3.116, 4.488, 4.528, 4.633, 16.42, 14.11, 10.68, 2.503, 2.13, 2.845, 2.726, 2.5, 2.198, 2.198
