# Created by WEAP: 12/14/2020 6:10:53 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: WA_W_Upr Nisqually (76,281 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (47,338 ha),  1000 - 2000 m (25,455 ha),  2000 - 3000 m (2,311 ha),  3000 - 4000 m (912 ha),  4000 - 5000 m (265 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 4000 to 5000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 4000 to 5000 m

1970, 1, 474.1, 490.4, 534, 524.3, 523.3, 1.2, -1.359, -11.15, -12.79, -13.37, 3.029, 3.042, 3.032, 3.032, 3.031
1970, 2, 160.2, 173.3, 204.9, 202.1, 200.8, 4.798, 2.496, -7.539, -9.184, -9.755, 2.677, 2.659, 2.661, 2.661, 2.661
1970, 3, 135.8, 143.1, 169.6, 168.5, 168.7, 4.49, 1.648, -9.201, -10.9, -11.42, 2.473, 2.47, 2.472, 2.472, 2.472
1970, 4, 185, 204.5, 265.3, 262.3, 258.8, 4.506, 1.602, -9.338, -11.04, -11.55, 2.954, 2.954, 2.942, 2.941, 2.941
1970, 5, 56.91, 73.51, 81.6, 79.55, 78.12, 10.36, 7.609, -3.312, -5.015, -5.524, 2.309, 2.291, 2.253, 2.252, 2.253
1970, 6, 24.3, 40.88, 57.8, 56.87, 56.11, 15.47, 13.06, 2.623, 0.9466, 0.4169, 2.641, 2.616, 2.583, 2.581, 2.582
1970, 7, 10.45, 15.66, 22.78, 22.27, 21.89, 17.21, 14.99, 4.625, 2.948, 2.421, 2.5, 2.459, 2.398, 2.395, 2.397
1970, 8, 3.75, 5.196, 6.524, 6.345, 6.258, 17.06, 15.22, 5.353, 3.713, 3.155, 2.352, 2.322, 2.269, 2.267, 2.268
1970, 9, 95.12, 138, 173, 168.3, 166.1, 11.95, 9.747, -0.5567, -2.218, -2.761, 2.218, 2.215, 2.206, 2.205, 2.206
1970, 10, 134.3, 166.5, 199.1, 194.3, 192, 7.986, 6.159, -3.522, -5.147, -5.723, 2.588, 2.582, 2.582, 2.582, 2.582
1970, 11, 239, 286.6, 386.1, 381.3, 378.5, 4.273, 1.945, -8.276, -9.925, -10.49, 3.326, 3.339, 3.354, 3.354, 3.354
1970, 12, 396.1, 395.9, 539.9, 540.3, 541.2, 0.01907, -2.417, -12.45, -14.11, -14.67, 3.537, 3.554, 3.556, 3.556, 3.556
1971, 1, 504.8, 628.9, 879, 871.1, 862.5, 0.2646, -2.185, -11.92, -13.56, -14.14, 3.396, 3.427, 3.443, 3.444, 3.442
1971, 2, 208.5, 288.4, 391.6, 387.9, 384.8, 2.139, -0.1526, -10.02, -11.66, -12.23, 2.989, 3, 2.996, 2.996, 2.995
1971, 3, 331.8, 334.3, 457.1, 460.5, 455.6, 1.662, -0.9666, -11.3, -12.96, -13.51, 2.999, 2.993, 2.974, 2.973, 2.973
1971, 4, 97.98, 97.09, 132, 131.5, 129, 6.279, 3.557, -6.757, -8.421, -8.972, 2.39, 2.379, 2.363, 2.363, 2.363
1971, 5, 93.7, 115.8, 144.2, 141.3, 138.2, 10.71, 8.384, -1.67, -3.321, -3.881, 2.934, 2.932, 2.901, 2.9, 2.9
1971, 6, 108.4, 126, 147, 144, 142.3, 10.46, 8.4, -1.967, -3.642, -4.175, 2.007, 1.994, 1.977, 1.976, 1.977
1971, 7, 39.07, 43.9, 50.27, 48.45, 48.08, 17.28, 15.56, 5.789, 4.153, 3.59, 2.185, 2.145, 2.088, 2.086, 2.087
1971, 8, 21.03, 22.88, 24.57, 24.21, 23.52, 18.45, 16.69, 6.79, 5.154, 4.591, 2.275, 2.243, 2.186, 2.183, 2.185
1971, 9, 113.2, 135, 163, 159.1, 156.6, 12.18, 9.952, -0.4153, -2.071, -2.613, 2.141, 2.14, 2.124, 2.124, 2.124
1971, 10, 140.3, 167.3, 211.1, 207.5, 203.6, 7.162, 5.265, -4.692, -6.336, -6.896, 2.09, 2.098, 2.104, 2.104, 2.103
1971, 11, 213.6, 260.8, 362.1, 358, 354.9, 3.159, 0.9117, -9.041, -10.69, -11.26, 2.654, 2.661, 2.657, 2.657, 2.657
1971, 12, 328.2, 433.3, 625.6, 625.1, 627.3, -0.3872, -2.771, -12.74, -14.39, -14.95, 3.178, 3.218, 3.222, 3.223, 3.221
1972, 1, 552.2, 635.1, 880.1, 875.3, 864.4, -1.314, -3.789, -13.86, -15.52, -16.08, 3.422, 3.466, 3.496, 3.498, 3.495
1972, 2, 382.1, 506.5, 717.2, 712, 704.1, 2.078, -0.1218, -9.875, -11.51, -12.09, 3.242, 3.232, 3.214, 3.213, 3.213
1972, 3, 335.9, 377.1, 528.7, 533.2, 527.9, 4.597, 1.747, -8.427, -10.08, -10.65, 2.465, 2.453, 2.443, 2.442, 2.442
1972, 4, 210.2, 304, 495.8, 495.3, 485.8, 4.446, 1.728, -8.768, -10.45, -10.99, 2.702, 2.7, 2.696, 2.696, 2.695
1972, 5, 45.96, 60.32, 65.63, 63.91, 62.92, 11.86, 9.28, -0.8926, -2.551, -3.108, 2.052, 2.059, 2.055, 2.055, 2.054
1972, 6, 100, 128.2, 153.8, 149.7, 148.8, 13.07, 10.83, 0.4977, -1.166, -1.707, 2.465, 2.443, 2.401, 2.399, 2.4
1972, 7, 37.8, 52.14, 64.03, 61.88, 61.29, 16.86, 14.77, 4.725, 3.077, 2.522, 2.319, 2.279, 2.229, 2.227, 2.228
1972, 8, 30.86, 29.4, 27.85, 27.11, 26.61, 17.53, 15.81, 6.102, 4.474, 3.903, 2.346, 2.327, 2.285, 2.283, 2.284
1972, 9, 141.7, 193.8, 243.7, 238.7, 234.7, 11.31, 9.055, -1.166, -2.817, -3.367, 2.031, 2.017, 1.995, 1.994, 1.995
1972, 10, 40.48, 49.09, 64.15, 63.04, 61.9, 8.225, 6.998, -2.443, -4.043, -4.628, 1.697, 1.702, 1.703, 1.703, 1.702
1972, 11, 162.1, 220.4, 292.7, 289, 287.8, 4.152, 1.944, -8.063, -9.703, -10.27, 2.705, 2.686, 2.681, 2.68, 2.681
1972, 12, 334.2, 474.1, 714.5, 716.7, 720, -0.8577, -3.393, -13.42, -15.08, -15.63, 3.569, 3.575, 3.567, 3.567, 3.566
1973, 1, 151.6, 206.5, 300.2, 299.6, 295.1, 0.2998, -2.404, -12.52, -14.17, -14.73, 3.722, 3.702, 3.7, 3.7, 3.7
1973, 2, 73.47, 87.94, 114.7, 113.5, 112.5, 3.549, 1.456, -8.508, -10.14, -10.71, 2.643, 2.637, 2.644, 2.644, 2.644
1973, 3, 123.2, 143, 221.4, 223.9, 220.9, 4.056, 1.492, -8.961, -10.63, -11.17, 2.383, 2.388, 2.388, 2.388, 2.387
1973, 4, 65.72, 85.13, 137.7, 137.8, 134.6, 7.15, 4.752, -5.618, -7.284, -7.826, 1.954, 1.964, 1.964, 1.965, 1.964
1973, 5, 113.2, 112.3, 115.6, 113.3, 110.7, 11.68, 9.168, -1.271, -2.947, -3.482, 2.272, 2.274, 2.275, 2.275, 2.275
